rider_id,rider_name,joining_date,vehicle_type,city
RDR006,Netra Goel,2024-10-19,Bike,Bangalore
RDR030,Aadi Patla,2025-08-30,Scooter,Bangalore
RDR065,Charvi Patel,2024-11-04,Bicycle,Mumbai
RDR071,Amaira Joshi,2025-06-08,Bike,Pune
RDR095,Ethan Bali,2025-02-15,Bike,Mumbai
RDR103,Dominic Mukhopadhyay,2024-08-05,Bike,Mumbai
RDR107,Anika Biswas,2024-07-27,Scooter,Bangalore
RDR120,Faris Contractor,2025-04-28,Bike,Bangalore
RDR126,Ekapad Sami,2026-04-15,Bike,Mumbai
RDR155,Aarav Palan,2025-04-29,Bicycle,Pune
RDR175,Mohammed Kala,2025-01-18,Scooter,Pune
RDR178,Bachittar Kuruvilla,2026-02-24,Bike,Pune
RDR208,Tanay Sawhney,2024-12-04,Bike,Pune
RDR232,Vasudha Gole,2025-02-04,Bicycle,Pune
RDR244,Libni Parikh,2024-10-12,Scooter,Pune
RDR246,Raksha Balakrishnan,2025-02-09,Bike,Mumbai
RDR248,Bhavini Mittal,2024-06-23,Scooter,Pune
RDR255,Xiti Mani,2025-02-10,Bicycle,Mumbai
RDR310,Meghana Tandon,2024-11-02,Bike,Bangalore
RDR319,Chatresh Boase,2024-09-09,Bike,Bangalore
RDR338,Mitesh Prasad,2025-12-19,Scooter,Pune
RDR341,Harshil Malhotra,2026-03-26,Bike,Pune
RDR351,Omkaar Dutt,2024-12-02,Bike,Bangalore
RDR362,Om Chakraborty,2026-01-27,Bicycle,Bangalore
RDR376,Tanish Bhattacharyya,2025-12-26,Bicycle,Mumbai
RDR404,Krish Borah,2025-03-09,Bike,Mumbai
RDR418,Forum Upadhyay,2025-07-15,Bike,Mumbai
RDR464,Mitesh Mallick,2026-03-29,Bike,Pune
RDR002,Unnati Khare,2025-11-30,Bike,Bangalore
RDR011,Omisha Bahri,2026-04-30,Bicycle,Mumbai
RDR027,Neha Chopra,2025-12-16,Bike,Bangalore
RDR040,Vedika Ramanathan,2025-03-18,Bike,Mumbai
RDR042,Kashvi Subramaniam,2025-03-05,Bicycle,Pune
RDR058,Oeshi Deep,2025-09-10,Scooter,Pune
RDR070,Kavya Dhaliwal,2025-08-20,Bike,Mumbai
RDR078,Patrick Kannan,2025-07-09,Scooter,Bangalore
RDR132,Falak Thakkar,2024-11-27,Scooter,Pune
RDR134,Maanav Mitra,2025-12-13,Scooter,Bangalore
RDR142,Urvi Hayer,2025-03-13,Scooter,Mumbai
RDR191,Dhruv Arora,2025-10-17,Bicycle,Mumbai
RDR193,Amaira Guha,2025-02-02,Bike,Mumbai
RDR212,Oeshi Sharma,2025-06-05,Bicycle,Pune
RDR221,Niharika Gera,2026-02-06,Bike,Bangalore
RDR238,Pooja Kala,2024-12-22,Bike,Bangalore
RDR239,Panini Buch,2024-11-13,Scooter,Pune
RDR247,Eta Naik,2024-06-14,Bicycle,Pune
RDR258,Chatresh Comar,2025-12-21,Bike,Pune
RDR259,Urmi Kala,2024-12-23,Bicycle,Mumbai
RDR261,Arya Kapur,2025-07-27,Scooter,Bangalore
RDR263,Ekaja Bakshi,2025-07-23,Bike,Pune
RDR281,Kashvi Dixit,2026-01-15,Scooter,Mumbai
RDR336,Nirja Behl,2024-08-16,Scooter,Mumbai
RDR345,Maanav Chaudry,2025-06-04,Bike,Bangalore
RDR352,Kevin Date,2025-07-12,Bike,Bangalore
RDR407,Henry Dugar,2025-02-04,Bike,Pune
RDR446,Yagnesh Patla,2025-03-31,Bike,Mumbai
RDR461,Kavya Narula,2024-08-14,Scooter,Mumbai
RDR495,Frado Bal,2026-03-13,Scooter,Pune
RDR024,Jalsa Kapoor,2025-01-01,Bicycle,Bangalore
RDR026,Daniel De,2024-06-12,Bike,Bangalore
RDR081,Ekaja Wadhwa,2026-05-19,Bike,Pune
RDR089,Zayyan Mitter,2026-02-17,Scooter,Pune
RDR090,Ladli Dalal,2025-03-17,Bike,Pune
RDR106,Wriddhish Vaidya,2024-12-06,Bike,Bangalore
RDR112,Pavani Zacharia,2024-10-17,Scooter,Pune
RDR123,Xiti Prashad,2024-11-21,Bike,Pune
RDR154,Sathvik Bobal,2025-08-31,Bike,Bangalore
RDR167,Rayaan Mangal,2026-02-12,Bike,Mumbai
RDR171,Joshua Luthra,2024-10-15,Scooter,Mumbai
RDR172,Aadi Tara,2026-01-08,Scooter,Bangalore
RDR181,Frado Kapoor,2026-05-22,Scooter,Bangalore
RDR190,Odika Sachar,2025-10-04,Bike,Pune
RDR202,Zansi Ghose,2026-01-30,Bike,Pune
RDR215,Jhalak Krishnamurthy,2025-11-17,Bike,Mumbai
RDR216,Adweta Luthra,2025-04-27,Scooter,Mumbai
RDR225,Dayita Ahluwalia,2024-06-12,Scooter,Mumbai
RDR234,Gavin Garde,2025-12-01,Bike,Bangalore
RDR236,Jhalak Madan,2025-09-15,Bicycle,Pune
RDR276,Amaira Dugar,2025-09-27,Scooter,Mumbai
RDR279,Irya Nori,2024-12-31,Scooter,Bangalore
RDR282,Amaira Manda,2025-12-04,Bicycle,Pune
RDR296,Naksh Rana,2026-01-19,Scooter,Mumbai
RDR328,Tanvi Vyas,2024-09-14,Bike,Mumbai
RDR344,Anay Ben,2025-09-08,Scooter,Bangalore
RDR349,Xalak Vasa,2025-12-27,Bike,Bangalore
RDR369,Odika Mitter,2026-05-31,Bicycle,Bangalore
RDR374,Zilmil Setty,2024-06-08,Scooter,Mumbai
RDR454,Xalak Bakshi,2026-02-12,Scooter,Mumbai
RDR459,Lakshit Sengupta,2025-10-11,Scooter,Mumbai
RDR465,Shivansh Chander,2025-02-28,Bike,Mumbai
RDR475,David Thaker,2026-05-18,Bike,Pune
RDR478,Radha Ramachandran,2025-09-23,Scooter,Mumbai
RDR483,Mekhala Anand,2025-04-19,Bicycle,Mumbai
RDR021,Yasti Nayak,2025-02-05,Bike,Mumbai
RDR046,Shivani Basak,2026-03-07,Bike,Bangalore
RDR052,Viraj Sundaram,2024-11-12,Scooter,Pune
RDR061,Ishani Srinivas,2025-11-16,Scooter,Mumbai
RDR062,Raghav Sani,2024-08-06,Bike,Bangalore
RDR121,Anthony Palla,2025-11-10,Bicycle,Mumbai
RDR127,Siya Grover,2025-01-14,Bicycle,Pune
RDR128,Arjun Sagar,2025-09-20,Bike,Pune
RDR141,Damyanti Rattan,2025-06-15,Bicycle,Mumbai
RDR149,Ekansh Yohannan,2025-03-22,Bike,Pune
RDR176,Netra Choudhary,2026-04-10,Bike,Mumbai
RDR185,Dhriti Parikh,2024-10-30,Bike,Pune
RDR187,Girik Singh,2025-03-03,Scooter,Bangalore
RDR192,Chanakya Chaudhary,2024-08-31,Bike,Bangalore
RDR229,Neelima Karpe,2024-07-23,Bike,Pune
RDR245,Aadi Naik,2025-11-27,Bike,Mumbai
RDR318,Warda Mitra,2024-11-06,Scooter,Pune
RDR324,Girish Kapoor,2025-01-06,Bike,Bangalore
RDR346,Abeer Naik,2025-12-04,Bike,Mumbai
RDR356,Yadavi Dave,2024-10-03,Bike,Bangalore
RDR370,Baghyawati Dhar,2024-10-12,Bike,Mumbai
RDR377,Yatin Sharma,2025-05-22,Bike,Pune
RDR393,Christopher Chaudhuri,2024-06-21,Bike,Pune
RDR396,Ubika Deshpande,2025-03-31,Bicycle,Pune
RDR408,Rajeshri Dube,2024-09-02,Bicycle,Bangalore
RDR410,Harish Roy,2025-06-03,Bike,Pune
RDR441,Edhitha Mitter,2024-08-22,Scooter,Mumbai
RDR479,Raghav Singh,2024-07-06,Bicycle,Pune
RDR486,Dayamai Ray,2026-02-28,Bike,Bangalore
RDR014,Sneha Sandhu,2025-08-22,Bicycle,Mumbai
RDR036,Vrinda Chaudhari,2025-12-08,Bicycle,Bangalore
RDR037,Tarak Yogi,2024-07-07,Scooter,Pune
RDR047,Manthan Kamdar,2024-08-14,Scooter,Pune
RDR056,Hemangini Prasad,2025-06-24,Scooter,Pune
RDR073,Yuvraj Bhandari,2026-03-03,Bike,Bangalore
RDR102,Nikita Kala,2024-07-26,Bike,Mumbai
RDR110,Yashica Das,2026-02-14,Bike,Mumbai
RDR146,Sneha Shroff,2025-02-23,Bicycle,Bangalore
RDR148,Dalbir Gole,2025-07-27,Bicycle,Bangalore
RDR153,Pahal Dash,2025-03-05,Bike,Bangalore
RDR158,Anthony Palla,2025-10-11,Scooter,Mumbai
RDR159,Vedant Garde,2025-08-06,Bike,Bangalore
RDR163,Tamanna Patel,2025-01-31,Scooter,Pune
RDR170,Jhalak Handa,2025-07-24,Scooter,Bangalore
RDR197,Girish Sharaf,2025-08-23,Bike,Mumbai
RDR203,Tanvi Zacharia,2025-07-08,Scooter,Mumbai
RDR204,Pushti Bahl,2025-09-17,Bike,Pune
RDR267,Anvi Din,2025-10-18,Bike,Pune
RDR284,Onkar Hegde,2025-09-04,Scooter,Pune
RDR321,Shivani Dara,2026-04-17,Scooter,Pune
RDR327,Amruta Sandal,2024-07-18,Bicycle,Bangalore
RDR331,Gabriel Dhawan,2025-05-09,Scooter,Mumbai
RDR354,Unni Pau,2024-07-27,Bike,Bangalore
RDR383,Ayaan Aggarwal,2024-06-16,Scooter,Bangalore
RDR395,Meghana Mistry,2026-04-25,Bicycle,Bangalore
RDR409,Gaurika Om,2025-03-27,Scooter,Mumbai
RDR413,Hamsini Hayre,2025-03-24,Scooter,Mumbai
RDR434,Samaksh Narayan,2025-08-30,Scooter,Bangalore
RDR443,Ishanvi Krishnamurthy,2024-06-28,Bike,Pune
RDR460,Utkarsh Nazareth,2025-02-11,Scooter,Bangalore
RDR009,Anjali Mand,2024-06-12,Bicycle,Bangalore
RDR012,Ekavir Goel,2025-06-09,Scooter,Mumbai
RDR045,Ekanta Mandal,2025-10-12,Scooter,Pune
RDR053,Wazir Sankar,2024-08-18,Scooter,Pune
RDR054,Ganga Bahl,2025-09-07,Scooter,Mumbai
RDR075,Sudiksha Bahri,2025-10-24,Scooter,Mumbai
RDR082,Chanchal Chauhan,2025-09-08,Bike,Mumbai
RDR097,Watika Barad,2024-11-13,Bike,Mumbai
RDR117,Rayaan Varma,2024-09-29,Bike,Bangalore
RDR130,Laksh Chopra,2025-11-17,Bicycle,Pune
RDR156,Chaitanya Jani,2025-03-12,Scooter,Mumbai
RDR165,Turvi Sodhi,2025-11-19,Scooter,Pune
RDR177,Janaki Kapur,2025-01-26,Bike,Pune
RDR188,Chaaya Dasgupta,2025-05-04,Scooter,Pune
RDR189,Zansi Loyal,2025-09-02,Bike,Bangalore
