customer_id,customer_name,city,area,signup_date,customer_segment
CUST0001,Bhavini Chana,Bangalore,Koramangala,2026-04-13,New
CUST0002,Gautami Banik,Mumbai,Bandra,2026-03-07,New
CUST0003,Faras Sinha,Bangalore,Koramangala,2025-04-11,Regular
CUST0004,Reva Khalsa,Bangalore,Koramangala,2024-12-05,Regular
CUST0005,Arya Ramachandran,Pune,Koregaon Park,2025-10-18,New
CUST0006,Fariq Sastry,Pune,Viman Nagar,2026-01-21,Regular
CUST0007,Kritika Bhakta,Bangalore,Indiranagar,2025-09-01,Regular
CUST0008,Avi Rege,Bangalore,BTM Layout,2025-12-04,Regular
CUST0009,Kamya Deo,Mumbai,Borivali,2023-12-12,New
CUST0010,Lakshit Nayar,Pune,Aundh,2026-05-12,Premium
CUST0011,Janani Wadhwa,Bangalore,HSR Layout,2024-02-25,Regular
CUST0012,Damyanti Khalsa,Pune,Wakad,2024-10-31,Premium
CUST0013,Sarthak Kothari,Mumbai,Andheri,2023-12-29,New
CUST0014,Dipta Mall,Pune,Baner,2023-06-21,Premium
CUST0015,Jagrati Rama,Bangalore,Whitefield,2025-10-26,Premium
CUST0016,Omya Johal,Bangalore,HSR Layout,2023-09-14,Regular
CUST0017,Yash Choudhary,Mumbai,Andheri,2023-11-19,Regular
CUST0018,Mahika Seshadri,Bangalore,BTM Layout,2024-07-10,Premium
CUST0019,Libni Balan,Mumbai,Borivali,2024-04-11,New
CUST0020,Tanay Gera,Pune,Koregaon Park,2024-07-24,Regular
CUST0021,Meera Arya,Mumbai,Andheri,2025-06-17,Premium
CUST0022,Wazir Dara,Pune,Kothrud,2026-05-07,New
CUST0023,Eshana Raj,Bangalore,Whitefield,2025-03-01,New
CUST0024,Yashoda Bhattacharyya,Mumbai,Bandra,2023-10-06,Regular
CUST0025,Chasmum Garde,Bangalore,Jayanagar,2023-11-04,Regular
CUST0026,Farhan Balay,Bangalore,Jayanagar,2023-10-05,New
CUST0027,Sarthak Madan,Bangalore,Indiranagar,2024-10-21,New
CUST0028,Arin Sarin,Mumbai,Powai,2024-04-24,Premium
CUST0029,Wriddhish Bassi,Bangalore,Jayanagar,2025-01-28,Regular
CUST0030,Varsha Anne,Bangalore,Whitefield,2024-10-25,Premium
CUST0031,Udarsh Swamy,Pune,Wakad,2025-06-30,Premium
CUST0032,Patrick Chakrabarti,Mumbai,Thane,2025-12-29,New
CUST0033,Shaurya Mistry,Pune,Viman Nagar,2025-01-24,Premium
CUST0034,Hritik Sharaf,Mumbai,Bandra,2024-02-26,Regular
CUST0035,Urmi Balay,Mumbai,Dadar,2026-06-01,Regular
CUST0036,Zashil Ghosh,Mumbai,Bandra,2024-12-11,New
CUST0037,Imaran Cheema,Bangalore,BTM Layout,2025-10-02,New
CUST0038,Max Nigam,Bangalore,HSR Layout,2025-12-22,Premium
CUST0039,Osha Tank,Mumbai,Powai,2024-10-28,New
CUST0040,Netra Amble,Pune,Viman Nagar,2025-09-09,Regular
CUST0041,Tripti Yadav,Pune,Aundh,2026-05-24,New
CUST0042,Nimrat Sarraf,Bangalore,Indiranagar,2025-02-24,Regular
CUST0043,Bhavna Palla,Mumbai,Borivali,2025-03-17,New
CUST0044,Arjun Sood,Mumbai,Borivali,2025-04-04,Premium
CUST0045,Netra Saran,Bangalore,Whitefield,2023-08-14,Premium
CUST0046,Jai Virk,Pune,Hadapsar,2024-10-06,Regular
CUST0047,Girish Kale,Bangalore,BTM Layout,2025-12-15,Regular
CUST0048,Finn Sama,Bangalore,Whitefield,2025-12-21,New
CUST0049,Siya Borra,Mumbai,Bandra,2024-09-26,Regular
CUST0050,Kavya Mani,Bangalore,Jayanagar,2025-05-12,New
CUST0051,Mason Gaba,Bangalore,Indiranagar,2025-11-24,Regular
