rider_id,rider_name,joining_date,vehicle_type,city
RDR001,Pushti Mangat,2025-11-12,Bicycle,Pune
RDR002,Unnati Khare,2025-11-30,Bike,Bangalore
RDR003,Diya Rao,2025-12-15,Bike,Bangalore
RDR004,Yochana Kumar,2024-10-25,Scooter,Mumbai
RDR005,Harinakshi Hayre,2024-11-27,Bicycle,Bangalore
RDR006,Netra Goel,2024-10-19,Bike,Bangalore
RDR007,Omkaar Sehgal,2025-10-23,Bicycle,Bangalore
RDR008,Triya Luthra,2024-09-27,Scooter,Mumbai
RDR009,Anjali Mand,2024-06-12,Bicycle,Bangalore
RDR010,Oeshi Venkataraman,2025-08-04,Scooter,Mumbai
RDR011,Omisha Bahri,2026-04-30,Bicycle,Mumbai
RDR012,Ekavir Goel,2025-06-09,Scooter,Mumbai
RDR013,Kiaan Bhatia,2025-12-02,Bike,Bangalore
RDR014,Sneha Sandhu,2025-08-22,Bicycle,Mumbai
RDR015,Omisha Raval,2026-04-23,Scooter,Pune
RDR016,Manthan Pandey,2026-01-12,Bike,Pune
RDR017,Jacob Dass,2026-02-21,Bike,Mumbai
RDR018,Waida Bhakta,2024-08-23,Bike,Pune
RDR019,Warda Chatterjee,2024-10-07,Scooter,Bangalore
RDR020,Falguni Bhasin,2024-11-14,Bike,Bangalore
RDR021,Yasti Nayak,2025-02-05,Bike,Mumbai
RDR022,Oni Chandran,2024-10-01,Bicycle,Bangalore
RDR023,Chaaya Dara,2024-10-12,Scooter,Bangalore
RDR024,Jalsa Kapoor,2025-01-01,Bicycle,Bangalore
RDR025,Owen Sarin,2025-08-12,Bike,Bangalore
RDR026,Daniel De,2024-06-12,Bike,Bangalore
RDR027,Neha Chopra,2025-12-16,Bike,Bangalore
RDR028,Omisha Rajagopalan,2025-05-18,Scooter,Mumbai
RDR029,Yoshita Viswanathan,2024-07-23,Scooter,Mumbai
RDR030,Aadi Patla,2025-08-30,Scooter,Bangalore
RDR031,Quincy Solanki,2024-08-11,Bicycle,Bangalore
RDR032,Rehaan Madan,2024-12-22,Bike,Pune
RDR033,Fiyaz Ravi,2026-03-14,Bike,Bangalore
